id,authors,year,title,doi,url,open_preferred
"1","Hu et al.","2020","Open Graph Benchmark: Datasets for Machine Learning on Graphs","10.48550/arXiv.2005.00687","https://arxiv.org/abs/2005.00687","Si"
"2","Dwivedi et al.","2023","Benchmarking Graph Neural Networks","10.5555/3648699.3648742","https://jmlr.org/papers/v24/22-0567.html","Si"
"3","Huang et al.","2022","Artificial intelligence foundation for therapeutic science","10.1038/s41589-022-01131-2","https://pmc.ncbi.nlm.nih.gov/articles/PMC9529840/","Si"
"4","Wu et al.","2018","MoleculeNet: a benchmark for molecular machine learning","10.1039/C7SC02664A","https://pubs.rsc.org/en/content/articlelanding/2018/sc/c7sc02664a","Si"
"5","Breit et al.","2020","OpenBioLink: a benchmarking framework for large-scale biomedical link prediction","10.1093/bioinformatics/btaa274","https://academic.oup.com/bioinformatics/article/36/13/4097/5825726","Si"
"6","Liu and Krishnan","2024","Open Biomedical Network Benchmark: A Python Toolkit for Benchmarking Datasets with Biomedical Networks","10.1101/2023.01.10.523485","https://proceedings.mlr.press/v240/liu24a.html","Si"
"7","Yue et al.","2020","Graph embedding on biomedical networks: methods, applications and evaluations","10.1093/bioinformatics/btz718","https://pmc.ncbi.nlm.nih.gov/articles/PMC7703771/","Si"
"8","Szklarczyk et al.","2023","The STRING database in 2023","10.1093/nar/gkac1000","https://academic.oup.com/nar/article/51/D1/D638/6825348","Si"
"9","Oughtred et al.","2021","The BioGRID database","10.1002/pro.3978","https://doi.org/10.1002/pro.3978","Si"
"10","Himmelstein et al.","2017","Systematic integration of biomedical knowledge prioritizes drugs for repurposing","10.7554/eLife.26726","https://pmc.ncbi.nlm.nih.gov/articles/PMC5640425/","Si"
"11","Jha et al.","2022","Prediction of protein-protein interaction using graph neural networks","10.1038/s41598-022-12201-9","https://www.nature.com/articles/s41598-022-12201-9","Si"
"12","Mohamed et al.","2022","Graph Neural Network for Protein-Protein Interaction Prediction","10.3390/molecules27186135","https://www.mdpi.com/1420-3049/27/18/6135","Si"
"13","Lv et al.","2024","GNNGL-PPI: multi-category prediction of protein-protein interactions","10.1186/s12864-024-10299-x","https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12864-024-10299-x","Si"
"14","Huang et al.","2020","SkipGNN: predicting molecular interactions with skip-graph networks","10.1038/s41598-020-77766-9","https://www.nature.com/articles/s41598-020-77766-9","Si"
"15","Wu et al.","2022","BridgeDPI: a novel Graph Neural Network for predicting drug-protein interactions","10.1093/bioinformatics/btac155","https://pubmed.ncbi.nlm.nih.gov/35274672/","Si"
"16","Sun et al.","2020","Graph convolutional networks for computational drug development and discovery","10.1093/bib/bbz042","https://academic.oup.com/bib/article/21/3/919/5498046","Parcial"
"17","Feng et al.","2024","A review on graph neural networks for predicting synergistic drug combinations","10.1007/s10462-023-10669-z","https://link.springer.com/article/10.1007/s10462-023-10669-z","Parcial"
"18","Wan et al.","2024","Knowledge mapping of graph neural networks for drug discovery","10.3389/fphar.2024.1393415","https://pmc.ncbi.nlm.nih.gov/articles/PMC11116974/","Si"
"19","Grover and Leskovec","2016","node2vec: Scalable Feature Learning for Networks","10.1145/2939672.2939754","https://dl.acm.org/doi/10.1145/2939672.2939754","Si"
"20","Shchur et al.","2018","Pitfalls of Graph Neural Network Evaluation","10.48550/arXiv.1811.05868","https://arxiv.org/abs/1811.05868","Si"
