dataset,negative_strategy,gcn_auprc_mean,hist_gradient_boosting_auprc_mean,logistic_regression_auprc_mean,node2vec_compatible_auprc_mean,random_forest_auprc_mean
biogrid_human_physical,degree_matched,0.4999635918954195,0.7704697531812752,0.716246468785804,0.6976216165777465,0.771188872072113
biogrid_human_physical,random,0.5255979747814659,0.9428851653656087,0.9346724554233198,0.8733706055212911,0.9422697425810311
biogrid_human_physical,two_hop,0.5000988641797607,0.7743821295232942,0.6543150927991406,0.6389578813396859,0.7729385276864275
biogrid_human_physical_no_string_overlap,degree_matched,0.5000153660939166,0.6835907473588011,0.5938747323892938,0.7246633491987237,0.6865394972778549
biogrid_human_physical_no_string_overlap,random,0.5908181346792136,0.9422556427768292,0.9328334199487994,0.8984682466799004,0.9408772401622226
biogrid_human_physical_no_string_overlap,two_hop,0.5011552366749562,0.8492723385746649,0.7222899871036739,0.6048050708141677,0.8302262157363971
string_human_physical_no_biogrid_overlap,degree_matched,0.5003438748705631,0.9156422376607678,0.8888867771137647,0.9035966830331972,0.915105174807762
string_human_physical_no_biogrid_overlap,random,0.7170506660144248,0.9641543982549579,0.9597896043579063,0.9405308036910016,0.963660412088206
string_human_physical_no_biogrid_overlap,two_hop,0.5153273203365402,0.8467412138064052,0.6819302896839908,0.7356061245476386,0.8510164837038552
string_human_physical_v12,degree_matched,0.4997254300956519,0.8813241993239519,0.8644464426505098,0.8040311765910854,0.8805165707736042
string_human_physical_v12,random,0.5348883834415727,0.9502610430996059,0.9456440881943984,0.8767361994981867,0.9498437475032221
string_human_physical_v12,two_hop,0.500620581352502,0.856381657858079,0.7527181416733632,0.730961901868507,0.8570632367795354
