dataset,dataset_label,negative_strategy,negative_label,model,model_label,n,mean,sd,ci95_low,ci95_high
biogrid_human_physical,BioGRID,degree_matched,Degree-matched,gcn_dot,GCN,10.0,0.4999635918954195,1.843134212625044e-05,0.4999521680312148,0.4999750157596242
biogrid_human_physical,BioGRID,degree_matched,Degree-matched,hist_gradient_boosting,HGB,10.0,0.7704697531812752,0.001183645566067873,0.769736122058773,0.7712033843037774
biogrid_human_physical,BioGRID,degree_matched,Degree-matched,logistic_regression,LogReg,10.0,0.716246468785804,0.00104044154681482,0.7156015964340041,0.7168913411376039
biogrid_human_physical,BioGRID,degree_matched,Degree-matched,node2vec_walk_logreg,node2vec,10.0,0.6976216165777465,0.0031345470049401023,0.6956788042159264,0.6995644289395665
biogrid_human_physical,BioGRID,degree_matched,Degree-matched,random_forest,RF,10.0,0.771188872072113,0.0012607391159914288,0.7704074578723201,0.7719702862719058
biogrid_human_physical,BioGRID,random,Random,gcn_dot,GCN,10.0,0.5255979747814659,0.01027828518302187,0.5192274276241203,0.5319685219388114
biogrid_human_physical,BioGRID,random,Random,hist_gradient_boosting,HGB,10.0,0.9428851653656087,0.00048769011200828127,0.9425828919025361,0.9431874388286814
biogrid_human_physical,BioGRID,random,Random,logistic_regression,LogReg,10.0,0.9346724554233198,0.0006180758995222698,0.9342893680118877,0.9350555428347519
biogrid_human_physical,BioGRID,random,Random,node2vec_walk_logreg,node2vec,10.0,0.8733706055212911,0.0016815566532697348,0.8723283659096583,0.8744128451329238
biogrid_human_physical,BioGRID,random,Random,random_forest,RF,10.0,0.9422697425810311,0.0005196188801828305,0.9419476794624168,0.9425918056996455
biogrid_human_physical,BioGRID,two_hop,Two-hop,gcn_dot,GCN,10.0,0.5000988641797607,8.592740937564472e-05,0.500045605819656,0.5001521225398654
biogrid_human_physical,BioGRID,two_hop,Two-hop,hist_gradient_boosting,HGB,10.0,0.7743821295232942,0.0010596310495295292,0.7737253633944884,0.7750388956521
biogrid_human_physical,BioGRID,two_hop,Two-hop,logistic_regression,LogReg,10.0,0.6543150927991406,0.0016779041652561413,0.6532751170230328,0.6553550685752484
biogrid_human_physical,BioGRID,two_hop,Two-hop,node2vec_walk_logreg,node2vec,10.0,0.6389578813396859,0.001514275897285379,0.6380193234147877,0.6398964392645841
biogrid_human_physical,BioGRID,two_hop,Two-hop,random_forest,RF,10.0,0.7729385276864275,0.0010877164291174615,0.7722643540590058,0.7736127013138491
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,degree_matched,Degree-matched,gcn_dot,GCN,10.0,0.5000153660939166,7.024163265360247e-05,0.4999718298789488,0.5000589023088844
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,degree_matched,Degree-matched,hist_gradient_boosting,HGB,10.0,0.6835907473588011,0.0016476093000542542,0.6825695485346807,0.6846119461829215
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,degree_matched,Degree-matched,logistic_regression,LogReg,10.0,0.5938747323892938,0.0016381486438291942,0.5928593973406522,0.5948900674379354
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,degree_matched,Degree-matched,node2vec_walk_logreg,node2vec,10.0,0.7246633491987237,0.0027586543553353815,0.722953517514883,0.7263731808825643
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,degree_matched,Degree-matched,random_forest,RF,10.0,0.6865394972778549,0.0013204492841705595,0.6857210743324021,0.6873579202233077
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,random,Random,gcn_dot,GCN,10.0,0.5908181346792136,0.025546160133578723,0.5749844605864877,0.6066518087719396
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,random,Random,hist_gradient_boosting,HGB,10.0,0.9422556427768292,0.0006720639320589148,0.9418390932361524,0.9426721923175059
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,random,Random,logistic_regression,LogReg,10.0,0.9328334199487994,0.0007385796158269986,0.9323756435601999,0.933291196337399
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,random,Random,node2vec_walk_logreg,node2vec,10.0,0.8984682466799004,0.0014385814971402734,0.8975766046302758,0.8993598887295251
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,random,Random,random_forest,RF,10.0,0.9408772401622226,0.000624207269995464,0.9404903524879993,0.941264127836446
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,two_hop,Two-hop,gcn_dot,GCN,10.0,0.5011552366749562,0.00057095187733993,0.5008013570350746,0.5015091163148379
