dataset,dataset_label,model,model_label,degree_matched,random,two_hop,drop_random_to_degree_matched,drop_random_to_two_hop
biogrid_human_physical,BioGRID,hist_gradient_boosting,HGB,0.7704697531812752,0.9428851653656087,0.7743821295232942,0.17241541218433354,0.16850303584231452
biogrid_human_physical,BioGRID,logistic_regression,LogReg,0.716246468785804,0.9346724554233198,0.6543150927991406,0.21842598663751578,0.2803573626241792
biogrid_human_physical,BioGRID,node2vec_walk_logreg,node2vec,0.6976216165777465,0.8733706055212911,0.6389578813396859,0.17574898894354463,0.2344127241816052
biogrid_human_physical,BioGRID,random_forest,RF,0.771188872072113,0.9422697425810311,0.7729385276864275,0.17108087050891818,0.16933121489460368
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,hist_gradient_boosting,HGB,0.6835907473588011,0.9422556427768292,0.8492723385746649,0.25866489541802806,0.09298330420216427
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,logistic_regression,LogReg,0.5938747323892938,0.9328334199487994,0.7222899871036739,0.33895868755950564,0.21054343284512556
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,node2vec_walk_logreg,node2vec,0.7246633491987237,0.8984682466799004,0.6048050708141677,0.17380489748117678,0.29366317586573276
biogrid_human_physical_no_string_overlap,BioGRID no-STRING,random_forest,RF,0.6865394972778549,0.9408772401622226,0.8302262157363971,0.2543377428843677,0.11065102442582553
string_human_physical_no_biogrid_overlap,STRING no-BioGRID,hist_gradient_boosting,HGB,0.9156422376607678,0.9641543982549579,0.8467412138064052,0.04851216059419006,0.11741318444855264
string_human_physical_no_biogrid_overlap,STRING no-BioGRID,logistic_regression,LogReg,0.8888867771137647,0.9597896043579063,0.6819302896839908,0.07090282724414154,0.27785931467391545
string_human_physical_no_biogrid_overlap,STRING no-BioGRID,node2vec_walk_logreg,node2vec,0.9035966830331972,0.9405308036910016,0.7356061245476386,0.03693412065780444,0.204924679143363
string_human_physical_no_biogrid_overlap,STRING no-BioGRID,random_forest,RF,0.915105174807762,0.963660412088206,0.8510164837038552,0.048555237280443975,0.11264392838435078
string_human_physical_v12,STRING,hist_gradient_boosting,HGB,0.8813241993239519,0.9502610430996059,0.856381657858079,0.06893684377565401,0.09387938524152695
string_human_physical_v12,STRING,logistic_regression,LogReg,0.8644464426505098,0.9456440881943984,0.7527181416733632,0.08119764554388853,0.19292594652103523
string_human_physical_v12,STRING,node2vec_walk_logreg,node2vec,0.8040311765910854,0.8767361994981867,0.730961901868507,0.07270502290710135,0.14577429762967975
string_human_physical_v12,STRING,random_forest,RF,0.8805165707736042,0.9498437475032221,0.8570632367795354,0.06932717672961786,0.09278051072368665
