dataset_id,dataset_name,source,official_url,version,download_date,license,redistribution_allowed,citation,organism,biological_domain,graph_type,directed,weighted,heterogeneous,temporal,number_of_nodes,number_of_edges,node_types,edge_types,feature_dimension,label_type,number_of_classes,positive_instances,negative_instances,class_imbalance_ratio,missing_features,duplicate_edges,self_loops,isolated_nodes,connected_components,largest_component_ratio,average_degree,density,transitivity,download_status,preprocessing_status,eligible,exclusion_reason
ogbl_biokg,OGB ogbl-biokg,Open Graph Benchmark,https://snap.stanford.edu/ogb/data/linkproppred/biokg.zip,>= ogb 1.2.0 / dataset version 1 in OGB manifest,,CC-0,Yes,Hu et al. 2020 Open Graph Benchmark,multi-species / biomedical entities,biomedical knowledge graph,knowledge_graph,True,False,True,False,93773,5088434,disease; protein; drug; side effect; protein function,51 directed relation types,Unknown,link_prediction_ranking,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,download_url_verified,not_started,provisional,Download size verified as 963312546 bytes; official split is random and needs leakage audit
openbiolink2020_hq_directed,OpenBioLink2020 directed high quality,OpenBioLink / Zenodo,https://zenodo.org/api/records/3834052/files/HQ_DIR.zip/content,2020,2026-08-04,CC BY 4.0,Yes with attribution; verify record terms before redistribution,Breit et al. 2020 OpenBioLink,multi-species / biomedical entities,biomedical knowledge graph,knowledge_graph,True,False,True,False,184732,4563405,ANATOMY; DIS; DRUG; GENE; GO; PATHWAY; PHENOTYPE,28,Unknown,link_prediction_with_negatives,NA,4563405,4739142,Unknown,Unknown,0 exact duplicates in official split files,not_applicable_or_not_checked_for_kg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,downloaded,quality_audited,candidate_needs_inverse_relation_review,Quality audited: no exact split overlap and no bad labels; negatives include 54 same-relation reverse hits against positives and require review/filtering
biogrid_human,BioGRID Homo sapiens,BioGRID,https://downloads.thebiogrid.org/Download/BioGRID/Latest-Release/BIOGRID-ORGANISM-LATEST.tab3.zip,5.0.260 latest release compiled 2026-07-25,2026-08-04,MIT,Yes,Stark et al. 2006 BioGRID plus current release citation,Homo sapiens human-human only after filtering,protein/genetic interactions,filtered_physical_ppi_network,False,True,False,False,20376,961531,genes/proteins,physical,Unknown,link_prediction_or_external_node_labels,Unknown,961531,961531 sampled non-edges across train validation test with seed 42,Unknown,Unknown,collapsed repeated BioGRID evidence rows into evidence_count metadata,0 after filtering; 9100 excluded in physical human-human filter,Unknown,1 after physical human-human filtering,Unknown,Unknown,0.00463209,Unknown,downloaded,pilot_split_built,yes_for_pilot_link_prediction_after_filtering,"Filtered physical human-human network and pilot split built; overlap with STRING mapped pairs covers 0.440 of BioGRID pairs, so independence claims need overlap-aware ablation"
string_human_v12,STRING Homo sapiens v12.0,STRING Consortium,https://stringdb-downloads.org/download/protein.links.v12.0/9606.protein.links.v12.0.txt.gz,12.0,,CC BY 4.0,Yes with attribution and change notice,Szklarczyk et al. STRING current release,Homo sapiens,protein functional associations,weighted_interaction_network,False,True,False,False,Unknown,Unknown,proteins,functional/physical association evidence,Unknown,link_prediction_or_external_node_labels,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,download_url_verified,not_started,provisional,Download size verified as 83164437 bytes; need confidence threshold redundant AB-BA handling and attribution metadata
string_human_physical_v12,STRING Homo sapiens v12.0 physical links,STRING Consortium,https://stringdb-downloads.org/download/protein.physical.links.v12.0/9606.protein.physical.links.v12.0.txt.gz,12.0,2026-08-04,CC BY 4.0,Yes with attribution and change notice,Szklarczyk et al. STRING current release,Homo sapiens,protein physical associations,weighted_interaction_network,False,True,False,False,18767,738805,proteins,physical association evidence,Unknown,link_prediction,NA,738805,to_generate_from_non_edges_after_split,Unknown,Unknown,0,0,Unknown,5,0.999520,78.7345,0.00419559,Unknown,downloaded,pilot_split_built,yes_for_pilot_link_prediction,"Pilot split built and validated; Entrez-mapped overlap with BioGRID filtered is 0.553 of STRING mapped pairs, so independence claims need overlap-aware ablation"
obnb_selected_task,OBNB selected node classification task,Open Biomedical Network Benchmark,https://proceedings.mlr.press/v240/liu24a.html,task_to_select,,MIT for package; data source licenses vary,Unknown until selected task source audit,Liu and Krishnan 2024 OBNB,Homo sapiens,network biology,node_classification_network,Unknown,Unknown,False,False,Unknown,Unknown,genes,depends_on_selected_network,Unknown,node_classification,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,not_downloaded,superseded,superseded_by_obnb_biogrid_gobp,Specific OBNB node classification candidates have been audited as separate rows
dream5_network_inference,DREAM5 Network Inference Challenge,DREAM Challenge,https://gnw.sourceforge.net/resources/DREAM5_NetworkInferenceChallenge_AlternativeDataFormats.zip,2010 alternative formats,,License to verify,Unknown,DREAM5 network inference challenge citation to verify,mixed / organisms vary,gene regulatory networks,directed_regulatory_network,True,False,False,False,Unknown,Unknown,genes,regulatory edges,expression_features,link_prediction_regulatory,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,download_url_verified,not_started,candidate,Alternative data formats ZIP verified as 59163708 bytes; official Synapse challenge/gold standards still require deeper access and license audit
biogrid_human_physical_no_string_overlap,BioGRID Homo sapiens physical no STRING overlap,Derived from BioGRID and STRING overlap audit,derived_from_local_audited_sources,BioGRID 5.0.260 + STRING v12.0 overlap removal,2026-08-04,MIT + CC BY 4.0 attribution context,Derived edge list requires attribution to BioGRID and STRING,Stark et al. BioGRID; Szklarczyk et al. STRING,Homo sapiens,protein physical interactions overlap-aware ablation,filtered_physical_ppi_network_ablation,False,True,False,False,19591,538003,Entrez genes/proteins,physical,0,link_prediction,NA,538003,538003 sampled non-edges across train validation test with seed 42,Unknown,Unknown,0 after filtered edge table validation,0,Unknown,4,Unknown,Unknown,Unknown,Unknown,derived,pilot_split_built,yes_for_overlap_ablation_link_prediction,BioGRID physical filtered with STRING-overlapping Entrez pairs removed; split validated no overlap no self-loops connectivity preserved
string_human_physical_no_biogrid_overlap,STRING Homo sapiens physical no BioGRID overlap,Derived from STRING and BioGRID overlap audit,derived_from_local_audited_sources,STRING v12.0 + BioGRID 5.0.260 overlap removal,2026-08-04,CC BY 4.0 + MIT attribution context,Derived edge list requires attribution to STRING and BioGRID,Szklarczyk et al. STRING; Stark et al. BioGRID,Homo sapiens,protein physical associations overlap-aware ablation,filtered_physical_ppi_network_ablation,False,True,False,False,16781,314539,STRING proteins,physical association,0,link_prediction,NA,314539,314539 sampled non-edges across train validation test with seed 42,Unknown,Unknown,0 after STRING symmetric collapse,0,Unknown,26,Unknown,Unknown,Unknown,Unknown,derived,pilot_split_built,yes_for_overlap_ablation_link_prediction,STRING physical with BioGRID-overlapping Entrez-mapped pairs removed; split validated no overlap no self-loops connectivity preserved
obnb_biogrid_gobp,OBNB BioGRID + GOBP,Open Biomedical Network Benchmark,https://github.com/krishnanlab/obnb,obnbdata-0.1.0,2026-08-04,OBNB MIT; GOBP/GO CC BY 4.0; graph source license inherited,Scripts and metadata yes; derived data redistribution requires source attribution/license review,Liu and Krishnan 2024 OBNB; Gene Ontology Consortium; graph source citation,Homo sapiens genes,gene function node classification,obnb_node_classification_network,False,False,False,False,19765,1554790,genes,network edges from BioGRID,constant:1; degree:1; log_degree:1; one_hot_log_degree:9,multilabel_node_classification_gobp,114,10199,682351,task_specific,features_built_and_validated,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,downloaded_via_obnb,exported_features_validated,yes_for_pilot_node_classification,Exported arrays masks labels and initial features validated; ready for node-classification baselines
