task,dataset,model,feature_or_input,auroc,auprc,primary_note
link_prediction,string_human_physical_v12,common_neighbors,train_graph_heuristic,0.9178297532265994,0.9185603069273515,classical unsupervised heuristic
link_prediction,string_human_physical_v12,jaccard,train_graph_heuristic,0.9085628480416742,0.9114272460110329,classical unsupervised heuristic
link_prediction,string_human_physical_v12,adamic_adar,train_graph_heuristic,0.9211056724472205,0.9271936061143383,classical unsupervised heuristic
link_prediction,string_human_physical_v12,preferential_attachment,train_graph_heuristic,0.8824834303252702,0.8859095785235659,classical unsupervised heuristic
link_prediction,biogrid_human_physical,common_neighbors,train_graph_heuristic,0.9094507159220123,0.907927447467995,classical unsupervised heuristic
link_prediction,biogrid_human_physical,jaccard,train_graph_heuristic,0.8755787892862468,0.863943522382967,classical unsupervised heuristic
link_prediction,biogrid_human_physical,adamic_adar,train_graph_heuristic,0.9139708574163127,0.9181848216184951,classical unsupervised heuristic
link_prediction,biogrid_human_physical,preferential_attachment,train_graph_heuristic,0.92109248803358,0.9185077057664476,classical unsupervised heuristic
link_prediction,biogrid_human_physical_no_string_overlap,common_neighbors,train_graph_heuristic,0.8669582126421691,0.8628867704647712,classical unsupervised heuristic
link_prediction,biogrid_human_physical_no_string_overlap,jaccard,train_graph_heuristic,0.7963397033623084,0.7263112558104984,classical unsupervised heuristic
link_prediction,biogrid_human_physical_no_string_overlap,adamic_adar,train_graph_heuristic,0.8724752679274747,0.877964196968536,classical unsupervised heuristic
link_prediction,biogrid_human_physical_no_string_overlap,preferential_attachment,train_graph_heuristic,0.9384962887467007,0.9343624989199546,classical unsupervised heuristic
link_prediction,string_human_physical_no_biogrid_overlap,common_neighbors,train_graph_heuristic,0.915688386047308,0.9143974247791956,classical unsupervised heuristic
link_prediction,string_human_physical_no_biogrid_overlap,jaccard,train_graph_heuristic,0.910123495295307,0.9069642598360347,classical unsupervised heuristic
link_prediction,string_human_physical_no_biogrid_overlap,adamic_adar,train_graph_heuristic,0.9180131919073791,0.9206744957382096,classical unsupervised heuristic
link_prediction,string_human_physical_no_biogrid_overlap,preferential_attachment,train_graph_heuristic,0.8952494361041069,0.8955081285768058,classical unsupervised heuristic
link_prediction,string_human_physical_v12,logistic_regression,train_graph_pair_heuristics,0.9361879063387005,0.9463175001762435,Brier=0.0975; ECE10=0.0267
link_prediction,string_human_physical_v12,random_forest,train_graph_pair_heuristics,0.9409530200717651,0.9503507799720963,Brier=0.0917; ECE10=0.0048
link_prediction,string_human_physical_v12,hist_gradient_boosting,train_graph_pair_heuristics,0.9413804706501038,0.9509314076625466,Brier=0.0916; ECE10=0.0039
link_prediction,biogrid_human_physical,logistic_regression,train_graph_pair_heuristics,0.9345502263092114,0.9347105701122609,Brier=0.1054; ECE10=0.0476
link_prediction,biogrid_human_physical,random_forest,train_graph_pair_heuristics,0.941777366483919,0.942632499768293,Brier=0.0959; ECE10=0.0048
link_prediction,biogrid_human_physical,hist_gradient_boosting,train_graph_pair_heuristics,0.9421872830091379,0.9431926029564923,Brier=0.0956; ECE10=0.0037
link_prediction,biogrid_human_physical_no_string_overlap,logistic_regression,train_graph_pair_heuristics,0.9381754429181465,0.9328161837802149,Brier=0.1040; ECE10=0.0601
link_prediction,biogrid_human_physical_no_string_overlap,random_forest,train_graph_pair_heuristics,0.9434366174458618,0.9408319566916417,Brier=0.0943; ECE10=0.0040
link_prediction,biogrid_human_physical_no_string_overlap,hist_gradient_boosting,train_graph_pair_heuristics,0.9446867169469743,0.9422827561199159,Brier=0.0935; ECE10=0.0039
link_prediction,string_human_physical_no_biogrid_overlap,logistic_regression,train_graph_pair_heuristics,0.9506363545377466,0.9583100998972192,Brier=0.0845; ECE10=0.0286
link_prediction,string_human_physical_no_biogrid_overlap,random_forest,train_graph_pair_heuristics,0.9552303850503537,0.9630335527792419,Brier=0.0767; ECE10=0.0057
link_prediction,string_human_physical_no_biogrid_overlap,hist_gradient_boosting,train_graph_pair_heuristics,0.9553322256399431,0.9630884529238278,Brier=0.0769; ECE10=0.0060
node_classification,obnb_biogrid_gobp,one_vs_rest_logistic_regression,constant,0.5,0.01068514908670854,micro_f1=0.0215
node_classification,obnb_biogrid_gobp,one_vs_rest_logistic_regression,one_hot_log_degree,0.5307530476611781,0.014334384449334398,micro_f1=0.0250
node_classification,obnb_biogrid_gobp,mlp,one_hot_log_degree,0.4880157474720004,0.012943513443821995,micro_f1@0.5=0.0000
node_classification,obnb_biogrid_gobp,gcn,one_hot_log_degree,0.4935590568722377,0.015926364290892815,micro_f1@0.5=0.0000
node_classification_threshold_tuned,obnb_biogrid_gobp,logistic_regression,one_hot_log_degree + per_task_val_f1,0.5309881586496724,0.014365298887825489,micro_f1=0.0253; recall=0.4162
node_classification_threshold_tuned,obnb_biogrid_gobp,mlp,one_hot_log_degree + per_task_val_f1,0.4880157474720004,0.012943513443821995,micro_f1=0.0217; recall=0.6878
node_classification_threshold_tuned,obnb_biogrid_gobp,gcn,one_hot_log_degree + per_task_val_f1,0.4935590568722377,0.015926364290892815,micro_f1=0.0212; recall=0.6054
